section,rank,term,frequency
defensa,1,general,1275
defensa,2,coronel,517
defensa,3,armada,508
defensa,4,teniente,502
defensa,5,capitán,502
defensa,6,congreso,450
defensa,7,tejero,387
defensa,8,civil,387
defensa,9,militar,345
defensa,10,guardia,340
defensa,11,tcol,310
defensa,12,gral,266
defensa,13,defensor,263
defensa,14,día,257
defensa,15,presidente,255
defensa,16,cap,253
defensa,17,defensa,248
defensa,18,hechos,247
defensa,19,comandante,245
defensa,20,fiscal,242
exteriores,1,españa,61
exteriores,2,spain,44
exteriores,3,asuntos,36
exteriores,4,exteriores,35
exteriores,5,madrid,33
exteriores,6,spanish,30
exteriores,7,marzo,29
exteriores,8,ministro,28
exteriores,9,presidente,28
exteriores,10,democracy,27
exteriores,11,john,23
exteriores,12,febrero,22
exteriores,13,juan,22
exteriores,14,carlos,22
exteriores,15,general,21
exteriores,16,embajador,21
exteriores,17,rey,21
exteriores,18,español,20
exteriores,19,haig,20
exteriores,20,señor,19
interior,1,general,595
interior,2,civil,444
interior,3,guardia,361
interior,4,estado,355
interior,5,coronel,355
interior,6,tejero,312
interior,7,militar,309
interior,8,madrid,306
interior,9,antonio,259
interior,10,congreso,248
interior,11,teniente,240
interior,12,hablar,237
interior,13,efe,237
interior,14,estaba,229
interior,15,xerocopia,225
interior,16,llamada,214
interior,17,carmen,214
interior,18,momento,213
interior,19,rey,210
interior,20,tiene,206
