section,rank,term,mean_tfidf
defensa,1,general,0.10440758576412154
defensa,2,coronel,0.05467654752606613
defensa,3,armada,0.05286808134655854
defensa,4,teniente,0.05187577838296431
defensa,5,capitán,0.0506560920801194
defensa,6,militar,0.042852785611781984
defensa,7,tejero,0.040953703037744885
defensa,8,tcol,0.03970891078834536
defensa,9,congreso,0.03758940638080657
defensa,10,civil,0.03610821149460602
defensa,11,general armada,0.03577291808249339
defensa,12,gral,0.03568087890151506
defensa,13,fiscal,0.03531853592832157
defensa,14,defensa,0.03433684739201742
defensa,15,justicia,0.03343124681133308
defensa,16,guardia,0.03277246455864528
defensa,17,guardia civil,0.032653371904354085
defensa,18,defensor,0.032296616581029156
defensa,19,consejo,0.0317461333319907
defensa,20,excmo,0.03165385299468795
exteriores,1,spain,0.09318876222617004
exteriores,2,españa,0.06840694054096778
exteriores,3,exteriores,0.06335881744559686
exteriores,4,spanish,0.06081110441911959
exteriores,5,asuntos exteriores,0.05970404847409885
exteriores,6,asuntos,0.058307178810673634
exteriores,7,haig,0.051076405311436465
exteriores,8,embajador,0.04878779979544079
exteriores,9,democracy,0.047818863688707504
exteriores,10,washington,0.04497475606162924
exteriores,11,minister,0.044589099795364726
exteriores,12,marzo,0.042458649129377024
exteriores,13,juan carlos,0.04208544353646615
exteriores,14,democratic,0.040702578530611475
exteriores,15,español,0.037802117614739505
exteriores,16,estados unidos,0.03777656043952476
exteriores,17,unidos,0.03777656043952476
exteriores,18,llorca,0.037625176982987826
exteriores,19,reagan,0.03748564360647357
exteriores,20,madrid,0.037037692167870416
interior,1,golpe,0.06252980213359131
interior,2,general,0.05032858431108139
interior,3,coronel,0.04852992462411998
interior,4,madrid,0.04682617074054046
interior,5,militar,0.044210710242657006
interior,6,estado,0.04330418469307435
interior,7,civil,0.04102556647770889
interior,8,gobierno,0.03680108527880236
interior,9,implicados,0.036666484512308355
interior,10,rey,0.03616707978783272
interior,11,partido,0.03430618192683009
interior,12,redacted,0.033679124965868945
interior,13,jefe,0.03313698501700776
interior,14,tejero,0.03266277094110469
interior,15,militares,0.03215785134453857
interior,16,grupo,0.031136288928986768
interior,17,guardia,0.03031602640942402
interior,18,interior,0.030149237392944218
interior,19,diputados,0.029290801400114048
interior,20,jpeg,0.029198837868301977
