section,rank,trigram,frequency
defensa,1,teniente coronel tejero,117
defensa,2,supremo justicia militar,86
defensa,3,consejo supremo justicia,84
defensa,4,teniente general milans,65
defensa,5,capitán guardia civil,53
defensa,6,coronel san martín,51
defensa,7,general milans bosch,50
defensa,8,general torres rojas,49
defensa,9,grupo técnico apoyo,46
defensa,10,técnico apoyo coordinación,46
defensa,11,informativa vista oral,45
defensa,12,cap garcia almenta,45
defensa,13,justicia militar desarrollo,44
defensa,14,vista oral consejo,39
defensa,15,oral consejo supremo,39
exteriores,1,ministro asuntos exteriores,19
exteriores,2,ministerio asuntos exteriores,12
exteriores,3,king juan carlos,9
exteriores,4,asuntos exteriores madrid,9
exteriores,5,josé pedro pérez,8
exteriores,6,pedro pérez llorca,8
exteriores,7,img jpeg img,8
exteriores,8,jpeg img jpeg,8
exteriores,9,dios guarde años,7
exteriores,10,notices questions motions,6
exteriores,11,rey don juan,6
exteriores,12,don juan carlos,6
exteriores,13,congreso estados unidos,6
exteriores,14,direccion general politica,5
exteriores,15,general politica exterior,5
interior,1,teniente coronel tejero,95
interior,2,pasó xerocopia sección,65
interior,3,pasó xerocopia general,65
interior,4,xerocopia general jefe,61
interior,5,img jpeg img,59
interior,6,jpeg img jpeg,59
interior,7,xerocopia dir gral,48
interior,8,pasó xerocopia dir,43
interior,9,general jefe pasó,42
interior,10,jefe pasó xerocopia,42
interior,11,general guardia civil,39
interior,12,jefatura superior policia,36
interior,13,tte coronel tejero,28
interior,14,dir gral subdtor,27
interior,15,coronel guardia civil,26
